U1Diva;U1;U1Data;U2Diva;U2;U2Data;U3Diva;U3;U3Data;U4Diva;U4;U4Data;U6Diva;U6;U6Data
60200949;0;100;60200942;0;70;60201260;60201260;69.75;60200560;60200560;124.9;60201235;60201235;103.5
60201481;1;115;60200910;1;70;60200425;60200425;74.05;60200956;60200956;73.9;60201007;60201007;71.275
60200014;2;85;60200487;2;70;60200399;60200399;73.4;60201404;60201404;74.6;60200285;60200285;103.425
60200033;3;75;60200299;3;70;60201749;60201749;89.15;60200161;60200161;81;60201499;60201499;126.65
60201573;4;90;60201278;4;70;60200289;60200289;79.05;60200520;60200520;98.95;60200048;60200048;70.125
60201095;5;60;60200473;5;70;60201199;60201199;75.85;60201211;60201211;80.65;60201394;60201394;116.775
60200666;6;100;60201299;6;70;60200653;60200653;81.5;60200863;60200863;81.3;60201015;60201015;93.575
60201349;7;100;60200290;7;70;60201104;60201104;77.7;60200820;60200820;85.15;60200937;60200937;96.35
60201366;8;90;60200282;8;70;60200743;60200743;72;60200827;60200827;91.75;60200820;60200820;106.875
60200657;9;120;60201894;9;70;60200245;60200245;86.2;60201018;60201018;82.4;60200436;60200436;88.075
60201320;10;70;60201893;10;70;60201320;60201320;82.75;60200670;60200670;111.45;60201468;60201468;70
60201198;11;70;60201892;11;70;60200506;60200506;80.25;60200657;60200657;105.7;60200188;60200188;70
60200916;12;105;60201040;12;70;60201430;60201430;95;60201305;60201305;81.7;60201372;60201372;70
60201040;13;90;60201891;13;70;60200056;60200056;69.7;60200743;60200743;120.95;60200615;60200615;70
60201433;14;120;60201182;14;70;60201530;60201530;86.5;60201198;60201198;70;60200027;60200027;70
60200234;15;60;60201184;15;70;60201468;60201468;77.6;60201182;60201182;70;60200874;60200874;70
60200641;16;70;60201072;16;70;60201200;60201200;80;60201124;60201124;70;60201510;60201510;70
60200031;17;80;60201430;17;70;60200606;60200606;80;60200357;60200357;70;60200950;60200950;70
60200627;18;120;60200835;18;70;60201035;60201035;80;60201062;60201062;70;60201062;60201062;70
60200633;19;90;60200657;19;70;60201317;60201317;80;60200491;60200491;70;60201667;60201667;70
60201860;20;60;;;70;60200981;60200981;;;;70;60200500;60200500;70
60201858;21;90;;;70;;;;;;70;60201705;60201705;70
60201859;22;90;;;70;;;;;;70;60201668;60201668;70
60200769;23;;;;70;;;;;;70;60200334;60200334;70
